S0113717,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113718,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113719,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113720,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113721,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113722,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113723,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113724,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113725,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113726,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113727,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113728,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113729,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113730,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113731,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113732,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113733,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113734,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113735,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113736,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113737,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113738,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0113739,패스트푸드,4115010200,경기도,의정부시,호원동,\N,4115054500,호원1동,411503215066,평화로
S0113740,한식,1154510300,서울특별시,금천구,시흥동,\N,1154567000,시흥1동,115453000024,금하로
S0113743,피자,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343537,송현로52번길
S0113744,피자,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343537,송현로52번길
S0113745,패스트푸드,4723011300,경상북도,영천시,완산동,\N,4723054000,완산동,472303310020,완산로
S0113747,야식,4617025023,전라남도,나주시,남평읍,동사리,4617025000,남평읍,461704685312,강변2길
S0113749,분식,2635010500,부산광역시,해운대구,우동,\N,2635052000,우2동,263503133017,센텀7로
S0113750,카페/디저트,4139012600,경기도,시흥시,목감동,\N,4139057000,목감동,413904853499,솔고개길
S0113751,카페/디저트,4115010600,경기도,의정부시,민락동,\N,4115057800,송산3동,411503181035,용민로
S0113754,한식,4719010900,경상북도,구미시,형곡동,\N,4719058200,형곡1동,471904724590,신시로7길
S0113756,카페/디저트,1156010800,서울특별시,영등포구,영등포동7가,\N,1156053500,영등포동,115604154084,국회대로54길
S0113757,한식,4719011000,경상북도,구미시,송정동,\N,4719051000,송정동,471904724578,신시로14길
S0113764,한식,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411504343050,경의로75번길
S0113768,카페/디저트,4121010300,경기도,광명시,하안동,\N,4121063300,하안3동,412104361294,하안로287번길
S0113769,분식,4115010900,경기도,의정부시,금오동,\N,4115058000,자금동,411503000001,동일로
S0113770,분식,4115010900,경기도,의정부시,금오동,\N,4115058000,자금동,411503000001,동일로
S0113771,분식,4115010900,경기도,의정부시,금오동,\N,4115058000,자금동,411503000001,동일로
