S0119111,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343460,호국로1309번길
S0119112,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343460,호국로1309번길
S0119113,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343460,호국로1309번길
S0119114,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343460,호국로1309번길
S0119115,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343460,호국로1309번길
S0119116,한식,4115010100,경기도,의정부시,의정부동,\N,4115051000,의정부1동,411504343460,호국로1309번길
S0119126,치킨,4115011000,경기도,의정부시,가능동,\N,4115059500,가능동,411504343022,가능로49번길
S0119133,돈까스/일식,4715010800,경상북도,김천시,신음동,\N,4715057500,대신동,471504718551,시청2길
S0119135,족발/보쌈,4817012200,경상남도,진주시,초전동,\N,4817069500,초장동,481704838077,초전북로39번길
S0119136,치킨,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411504343094,동일로466번길
S0119137,치킨,4115010400,경기도,의정부시,신곡동,\N,4115056700,신곡1동,411504343094,동일로466번길
S0119138,돈까스/일식,4150010300,경기도,이천시,중리동,\N,4150052000,중리동,415004421523,어재연로18번길
S0119148,족발/보쌈,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471504718423,부곡맛고을1길
S0119155,한식,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343295,용현로160번길
S0119156,한식,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343295,용현로160번길
S0119157,한식,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343295,용현로160번길
S0119158,한식,4115010600,경기도,의정부시,민락동,\N,4115057600,송산2동,411504343295,용현로160번길
S0119159,한식,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411503181029,신흥로
S0119160,한식,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411503181029,신흥로
S0119161,한식,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411503181029,신흥로
S0119173,분식,4127110400,경기도,안산시 상록구,본오동,\N,4127155000,본오2동,412713190036,샘골로
S0119179,돈까스/일식,2823710100,인천광역시,부평구,부평동,\N,2823754000,부평4동,282374262536,신트리로8번길
S0119180,돈까스/일식,2823710100,인천광역시,부평구,부평동,\N,2823754000,부평4동,282374262536,신트리로8번길
S0119181,야식,4150010300,경기도,이천시,중리동,\N,4150052000,중리동,415003207040,어재연로
S0119182,야식,4150010300,경기도,이천시,중리동,\N,4150052000,중리동,415003207040,어재연로
S0119188,카페/디저트,4115010100,경기도,의정부시,의정부동,\N,4115052000,의정부2동,411503181060,시민로
S0119191,돈까스/일식,4790036046,경상북도,예천군,호명면,산합리,4790036000,호명면,479004853990,양지3길
S0119195,돈까스/일식,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471504718988,후생길
S0119196,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0119197,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0119198,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745053,군청길
S0119199,치킨,4773025024,경상북도,의성군,의성읍,도동리,4773025000,의성읍,477304745454,전통시장2길
S0119200,돈까스/일식,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471504718988,후생길
S0119201,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0119202,한식,4773025024,경상북도,의성군,의성읍,도동리,4773025000,의성읍,477304745455,전통시장3길
S0119203,돈까스/일식,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471504718988,후생길
S0119204,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0119205,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745053,군청길
S0119206,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745141,동서2길
S0119207,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0119208,돈까스/일식,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471504718988,후생길
S0119209,치킨,4773025022,경상북도,의성군,의성읍,중리리,4773025000,의성읍,477304745172,문소1길
S0119210,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745141,동서2길
S0119211,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0119212,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0119213,한식,4773025024,경상북도,의성군,의성읍,도동리,4773025000,의성읍,477304745475,중앙길
S0119214,돈까스/일식,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471504718988,후생길
S0119215,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,\N,\N
S0119216,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745561,후죽4길
S0119217,돈까스/일식,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471504718988,후생길
S0119218,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0119219,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745475,중앙길
S0119220,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0119221,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0119222,돈까스/일식,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471504718988,후생길
S0119224,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745053,군청길
S0119225,돈까스/일식,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471504718988,후생길
S0119226,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0119227,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745562,후죽5길
S0119228,돈까스/일식,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471504718988,후생길
S0119229,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0119230,돈까스/일식,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471504718988,후생길
S0119231,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745141,동서2길
S0119232,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0119233,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0119234,돈까스/일식,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471504718988,후생길
S0119235,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745475,중앙길
S0119236,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477303315010,홍술로
S0119237,돈까스/일식,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471504718988,후생길
S0119238,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0119239,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0119240,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745140,동서1길
S0119241,돈까스/일식,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471504718988,후생길
S0119242,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745053,군청길
S0119243,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0119244,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0119245,도시락,4773025024,경상북도,의성군,의성읍,도동리,4773025000,의성읍,\N,\N
S0119246,찜탕,4773025025,경상북도,의성군,의성읍,도서리,4773025000,의성읍,477304745540,향교길
S0119247,돈까스/일식,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471504718988,후생길
S0119248,돈까스/일식,4715011400,경상북도,김천시,부곡동,\N,4715059500,대곡동,471504718988,후생길
S0119249,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745141,동서2길
S0119250,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0119251,한식,4773025021,경상북도,의성군,의성읍,후죽리,4773025000,의성읍,477304745174,문소3길
S0119253,중식,4127110400,경기도,안산시 상록구,본오동,\N,4127155000,본오2동,412713190003,각골로
S0119260,치킨,4115010400,경기도,의정부시,신곡동,\N,4115056800,신곡2동,411504343344,청사로5번길
S0119264,찜탕,4115011000,경기도,의정부시,가능동,\N,4115061500,흥선동,411503181037,의정로
S0119265,배달전문업체,1156010100,서울특별시,영등포구,영등포동,\N,1156051500,영등포본동,115604154323,도신로29사길
S0119266,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0119267,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0119268,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0119269,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0119270,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0119271,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0119272,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0119273,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0119274,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
S0119275,돈까스/일식,4723010500,경상북도,영천시,문외동,\N,4723052000,중앙동,472303018037,호국로
